t	theta3	theta1	omega1	omega2
0.0	1.0458785506838855	0.5056108403165136	0.9208958573373822	0.11908667210827806
0.1	1.1853728180498837	0.5269898336778972	1.8759737187204801	0.338406679902145
0.2	1.4222523289748397	0.5831275207834753	2.863376493169321	0.859931541764649
0.30000000000000004	1.7568615565880306	0.7199145278803961	3.809399896511881	2.0097447085474545
0.4	2.1760675949325146	1.0158823126157128	4.501975614016604	4.06597999101586
0.5	2.634277721103674	1.5598428972609215	4.505510109199772	6.891002404572424
0.6000000000000001	3.041184012978689	2.3941802078969814	3.509127847112874	9.679166931788695
0.7000000000000001	3.340979957005906	3.439676165419174	2.714649896452835	10.754342137966514
0.8	3.64311407230909	4.4398042454333435	3.4419272089284503	8.930235074416835
0.9	4.017957265720024	5.205315650616226	3.9164509320983907	6.403289542653045
1.0	4.398049237523824	5.738621061568139	3.5759016953469374	4.393225612548486
1.1	4.718441613673169	6.11351192382111	2.789140040821722	3.251788811370143
1.2000000000000002	4.951840674096117	6.416101212176453	1.874061286653475	2.91959284336663
1.3	5.094490445194988	6.717612883979623	0.993275776534443	3.195910825214918
1.4000000000000001	5.154628059433703	7.06933156893507	0.23523699254949482	3.897985252632813
1.5	5.146996288255439	7.5070435812629395	-0.3650733550682218	4.89375357557978
1.6	5.082349731485214	8.050551820526374	-0.9632937919892802	5.9407036863881775
1.7000000000000002	4.93673484750661	8.676288422980578	-2.068831562925779	6.47423783879162
1.8	4.646044025381338	9.344075731130287	-3.8350127806865757	7.040388689005895
1.9000000000000001	4.154330160882824	10.134646889928554	-5.918499457414222	8.726410900527494
